ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7135 function calls (7086 primitive calls) in 0.019 seconds
    1    0.002    0.002    0.019    0.019 profiling.py:5(<module>)
  6/1    0.000    0.000    0.019    0.019 {built-in method builtins.exec}
    1    0.000    0.000    0.012    0.012 mathlib.py:6(<module>)
  5/1    0.000    0.000    0.012    0.012 <frozen importlib._bootstrap_external>:777(exec_module)
  7/1    0.000    0.000    0.012    0.012 <frozen importlib._bootstrap>:986(_find_and_load)
  7/1    0.000    0.000    0.012    0.012 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
  7/1    0.000    0.000    0.012    0.012 <frozen importlib._bootstrap>:650(_load_unlocked)
  9/1    0.000    0.000    0.012    0.012 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
    1    0.000    0.000    0.007    0.007 UI.py:6(<module>)
    1    0.000    0.000    0.005    0.005 __init__.py:1(<module>)
    1    0.000    0.000    0.004    0.004 signal.py:1(<module>)
    3    0.000    0.000    0.004    0.001 enum.py:439(_convert_)
    3    0.000    0.000    0.004    0.001 enum.py:386(_create_)
    7    0.000    0.000    0.004    0.001 enum.py:283(__call__)
   99    0.004    0.000    0.004    0.000 profiling.py:11(compact_spaces)
   90    0.003    0.000    0.003    0.000 enum.py:65(__setitem__)
   42    0.001    0.000    0.003    0.000 {built-in method builtins.__build_class__}
    1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap_external>:1099(create_module)
    1    0.002    0.002    0.002    0.002 {built-in method _imp.create_dynamic}
    5    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:849(get_code)
    7    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
    4    0.001    0.000    0.002    0.000 enum.py:134(__new__)
    5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
   13    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
    6    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1334(find_spec)
    6    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1302(_get_spec)
    7    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:890(_find_spec)
    5    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
    1    0.000    0.000    0.000    0.000 UI.py:12(UI)
    1    0.000    0.000    0.000    0.000 types.py:171(__get__)
    2    0.000    0.000    0.000    0.000 sre_parse.py:96(closegroup)
    2    0.000    0.000    0.000    0.000 sre_parse.py:937(parse)
    2    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
    2    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
    8    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
    2    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
  4/2    0.000    0.000    0.000    0.000 sre_parse.py:493(_parse)
